add-none,2,100,400,139327,348,0
add-none,2,1000,4000,142900,35,0
add-none,2,10000,40000,510102,12,14
add-none,2,100000,400000,4059239,10,40
add-none,4,100,800,206639,258,0
add-none,4,1000,8000,202457,25,0
add-none,4,10000,80000,1140088,14,29
add-none,4,100000,800000,9409674,11,152
add-none,8,100,1600,335554,209,1
add-none,8,1000,16000,304605,19,0
add-none,8,10000,160000,2381740,14,30
add-none,8,100000,1600000,23198807,14,329
add-none,12,100,2400,595520,248,0
add-none,12,1000,24000,433765,18,0
add-none,12,10000,240000,3769945,15,126
add-none,12,100000,2400000,36042228,15,1643
add-yield-none,2,10,40,156896,3922,0
add-yield-none,2,20,80,173123,2164,1
add-yield-none,2,40,160,217808,1361,0
add-yield-none,2,80,320,278230,869,0
add-yield-none,2,100,400,299974,749,1
add-yield-none,2,1000,4000,1847762,461,0
add-yield-none,2,10000,40000,17053568,426,1
add-yield-none,2,100000,400000,173343188,433,0
add-yield-none,4,10,80,193751,2421,2
add-yield-none,4,20,160,209578,1309,1
add-yield-none,4,40,320,269115,840,1
add-yield-none,4,80,640,360526,563,0
add-yield-none,4,100,800,435658,544,1
add-yield-none,4,1000,8000,2050864,256,1
add-yield-none,4,10000,80000,18734002,234,0
add-yield-none,4,100000,800000,183671307,229,6
add-yield-none,8,10,160,297377,1858,4
add-yield-none,8,20,320,326345,1019,4
add-yield-none,8,40,640,370076,578,4
add-yield-none,8,80,1280,474374,370,2
add-yield-none,8,100,1600,511260,319,2
add-yield-none,8,1000,16000,2545077,159,1
add-yield-none,8,10000,160000,23565590,147,1
add-yield-none,8,100000,1600000,229312733,143,23
add-yield-none,12,10,240,463823,1932,1
add-yield-none,12,20,480,418892,872,3
add-yield-none,12,40,960,511259,532,4
add-yield-none,12,80,1920,644183,335,4
add-yield-none,12,100,2400,624521,260,1
add-yield-none,12,1000,24000,3125097,130,1
add-yield-none,12,10000,240000,29107067,121,1
add-yield-none,12,100000,2400000,282717401,117,29
add-yield-m,2,10000,40000,68212858,1705,0
add-yield-m,4,10000,80000,124781900,1559,0
add-yield-m,8,10000,160000,285091707,1781,0
add-yield-m,12,10000,240000,442234322,1842,0
add-yield-c,2,10000,40000,19358056,483,0
add-yield-c,4,10000,80000,27290664,341,0
add-yield-c,8,10000,160000,33930117,212,0
add-yield-c,12,10000,240000,57388985,239,0
add-yield-s,2,1000,4000,3911346,977,0
add-yield-s,4,1000,8000,8876521,1109,0
add-yield-s,8,1000,16000,24653855,1540,0
add-yield-s,12,1000,24000,37432235,1559,0
add-none,1,100,200,115245,576,0
add-none,1,1000,2000,119191,59,0
add-none,1,10000,20000,270697,13,0
add-none,1,100000,200000,1473544,7,0
add-m,1,10000,20000,811261,40,0
add-m,2,10000,40000,5804356,145,0
add-m,4,10000,80000,10808836,135,0
add-m,8,10000,160000,31961034,199,0
add-m,12,10000,240000,48561262,202,0
add-s,1,10000,20000,424265,21,0
add-s,2,10000,40000,2342493,58,0
add-s,4,10000,80000,12224742,152,0
add-s,8,10000,160000,49764133,311,0
add-s,12,10000,240000,121508775,506,0
add-c,1,10000,20000,530746,26,0
add-c,2,10000,40000,3466169,86,0
add-c,4,10000,80000,5877514,73,0
add-c,8,10000,160000,12545577,78,0
add-c,12,10000,240000,20512603,85,0
